#separator:tab
#html:true
#guid column:1
#notetype column:2
#deck column:3
x|K;&c]P~E	TopicCloze	Active::ProgrammingGeneral::Windows	Type {{c1::cmd}} in file broswer's {{c2::address bar}} to open a cmd in that directory	win				<div>&nbsp;Windows: Type cmd in file broswer to open a cmd in that directory</div>	ToCards_01_03_25.odt
MXZQAdo6x.	TopicCloze	Active::ProgrammingGeneral::SQL	strftime format specifiers<br><br>{{c1::%s}} - {{c2::Unix epoch}}	sqlite				"<pre><div>&nbsp;SELECT strftime('%some_arg', some_col) FROM example;</div>
gets time from a timestamp col. Stands for string format time<br>
–<br>
Common strftime format specifiers in SQLite:

    %Y - Year (4 digits)
    %m - Month (2 digits)
    %d - Day of the month (2 digits)
    %H - Hour (24-hour format)
    %M - Minute
    %S - Second
    %s - Unix timestamp (seconds since epoch)</pre>"	ToCards_03_04_25
"tH*tC&/7?#"	TopicCloze	Active::ProgrammingGeneral::SQL	SQL does {{c1::int division}} if {{c2::both ops are ints}}	SQL				<pre>SQL does int division if both operands are ints</pre>	ToCards_03_04_25
k4Kld,@Q[+	TopicCloze	Active::ProgrammingGeneral::SQL	"<div>any comparison involving <span class=""code"">{{c1::NULL}}</span> results in <span class=""code"">{{c3::NULL!c2}}</span>, not <span class=""code"">{{c2::TRUE or FALSE!c2}}</span>.<br></div>"	SQL				<pre>In SQL, NULL represents an unknown value, and any comparison involving NULL results in NULL, not TRUE or FALSE.</pre>	ToCards_03_04_25
_Z<naAkfH	TopicCloze	Active::ProgrammingGeneral::SQL	To {{c1::autoincrement}} an int it must be a {{c2::primary key}}	SQL				"<pre>sql
You cannot use autoincrement without the int being a primary key</pre>"	ToCards_03_09_25.odt
vUsMU9vumV	TopicCloze	Active::ProgrammingGeneral::Python	{{c1::any()}} returns {{c2::True}} when an {{c3::ele of the<br>iterable}}&nbsp;{{c4::evals to True}}	py				"



<pre class=""western"">python
any() is a built-in Python function that returns True if at least one element in an iterable evaluates to True, otherwise it returns False.<br>
<br>
any(myStr in d for d in (a, b, c, d)) a,b,c,d are colections</pre>"	ToCards_03_09_25.odt
h+W!.Ca4$i	TopicCloze	Active::ProgrammingGeneral::SQL	"<span class=""code"">PRAGMA {{c1::foreign_key_list}}(table_name);</span><br> <br>{{c2::id}} – {{c7::FK constraint ID}}<br>{{c3::seq}} – {{c11:: Seq order # of the fk contraint}}<br>{{c4::table}} – {{c8::Ref'd table}}<br>{{c5::from}} – {{c9::Col of this table}}<br>{{c6::to}} – {{c10::Ref'd col of foreign table}}"	sqlite				"<pre>PRAGMA foreign_key_list(table_name); <br>
<br>
<strong>id</strong> – Foreign key constraint ID 
<strong>seq</strong> – Order of the column in the composite foreign key 
<strong>table</strong> – The referenced table 
<strong>from</strong> – The column in your table 
<strong>to</strong> – The referenced column in the foreign table</pre>"	ToCards_03_09_25.odt
fV`aYRL@N}	ExCloze	Active::LangGeneral	"""The man who runneth fast is my friend,""<br><br>{{c1::""who runneth fast""}} is the {{c2::relative clause}}.<br>{{c3::""runneth fast""}} is the {{c4::predicate}}"	"""The man who runneth fast is my friend,""

    ""who runneth fast"" is the relative clause.
    ""runneth fast"" is the predicate of the relative clause, as it describeth what ""who"" (the subject) doeth."	ToCards_01_19_25.odt				
"O#u&Wr58^e"	TopicCloze	Active::ProgrammingGeneral::javascript	"<span class=""code"">{{c1::Array.some()}}</span> Ex.<br><br><span class=""code"">myArry.some((e) =&gt; { {{c2::(s/th that evals True/ False)}} });</span>"	JS				"Array.some() is a JavaScript method that tests whether at least one element in an array passes a given test function &lt;-<br><br> const validTypes = [""Noun"", ""Adjective"", ""Verb""]<br> validTypes.some((e) =&gt; { _type.includes(e) });<br>"	ToCards_02_02_25.odt
LAHU;Gwbok	ExCloze	Active::ProgrammingGeneral::SQL	"<span class=""code"">{{c1::pragma_table_info()}}</span> is {{c2::sqlite}} specific"	pragma_table_info is sqlite specific	ToCards_03_04_25				
t;*XA$F@tL	TopicCloze	Active::ProgrammingGeneral::CSS	"<span class=""code"">.card {
{{c2::max-width: 26em;}}<br>}</span>
<br><br>
{{c1::Limits the width of the ele::Does?}}"	css				"<div>&nbsp;.card {</div>
<div>font-family: arial;</div>
<div>font-size: 20px;</div>
<div>text-align: center;</div>
<div><b>max-width: 26em;</b></div>
<div>color: black;</div>
<div>background-color: white;</div>
<div>}</div>
<div>To limit the width of the element</div>"	ToCards_01_17_25.odt
